id	e_photo	e_color_name	e_color
2	edge_color/Q1344.png	Cognac Brown Sherman Oak	Q1344
3	edge_color/Q3176.png	Pewter Halifax Oak	Q3176
4	edge_color/Q3359.png	Light Natural Davenport Oak	Q3359
5	edge_color/F8930.png	Diamond Brushed Bronze	F8930
6	edge_color/F8931.png	Diamond Brushed Inox	F8931
7	edge_color/F8980.png	Linea Black	F8980
8	edge_color/H8906.png	Three Layer Thermo Brown	H8906
9	edge_color/H8911.png	Multiplex Oak	H8911
10	edge_color/H8912.png	Multiplex Walnut	H8912
11	edge_color/H8913.png	Three Layer Mountain Larch	H8913
12	edge_color/H8955.png	Multiplex Black	H8955
13	edge_color/U8920.png	Doppia Black-Alu	U8920
14	edge_color/U8921.png	Doppia Black Matt/Gloss	U8921
15	edge_color/U8922.png	Doppia Black Gloss/Matt	U8922
16	edge_color/W8904.png	Doppia Alpine White-Alu	W8904